"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
27	5139	"plastid"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 5106  | 0.99       |              
 |--organelle                                   | 5097  | 0.99       |              
 |   |--plastid                                 | 4790  | 0.93       |              
 |   '--mitochondria                            | 307   | 0.06       |              
 '--repeat                                      | 9     | 0.0018     |              
     '--mobile_element                          | 9     | 0.0018     |              
         '--Class_I                             | 9     | 0.0018     |              
             '--LINE                            | 9     | 0.0018     | 9 (LINE-RH), "	NA	"156,118"
28	5036	"CRM"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 562   | 0.11       |                                                                          
 |--organelle                                   | 3     | 6e-04      |                                                                          
 |   '--mitochondria                            | 3     | 6e-04      |                                                                          
 '--repeat                                      | 559   | 0.11       |                                                                          
     '--mobile_element                          | 559   | 0.11       |                                                                          
         '--Class_I                             | 559   | 0.11       |                                                                          
             |--LTR                             | 557   | 0.11       |                                                                          
             |   '--Ty3_gypsy                   | 557   | 0.11       |                                                                          
             |       '--chromovirus             | 557   | 0.11       |                                                                          
             |           '--CRM                 | 557   | 0.11       | 36 (Ty3-CHDCR), 286 (Ty3-GAG), 156 (Ty3-INT), 78 (Ty3-PROT), 1 (Ty3-RT), 
             '--LINE                            | 2     | 4e-04      | 2 (LINE-RT),                                                             "	NA	"79"
29	4965	"Ikeros"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1705  | 0.34       |                                                                           
 |--organelle                                   | 1     | 2e-04      |                                                                           
 |   '--plastid                                 | 1     | 2e-04      |                                                                           
 '--repeat                                      | 1704  | 0.34       |                                                                           
     '--mobile_element                          | 1704  | 0.34       |                                                                           
         '--Class_I                             | 1704  | 0.34       |                                                                           
             '--LTR                             | 1704  | 0.34       |                                                                           
                 '--Ty1_copia                   | 1704  | 0.34       |                                                                           
                     |--Ale                     | 2     | 4e-04      | 2 (Ty1-RT),                                                               
                     |--Ikeros                  | 1701  | 0.34       | 209 (Ty1-GAG), 505 (Ty1-INT), 183 (Ty1-PROT), 281 (Ty1-RH), 523 (Ty1-RT), 
                     '--SIRE                    | 1     | 2e-04      | 1 (Ty1-RT),                                                               "	NA	"151,124"
30	4864	"repeat"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4452  | 0.92       |         
 '--repeat                                      | 4452  | 0.92       |         
     '--satellite                               | 4452  | 0.92       |         "	"91 - Putative satellites (high confidence)"	"324,91"
31	4800	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"81"
32	4714	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"83"
33	4584	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 6     | 0.0013     |         
 |--organelle                                   | 6     | 0.0013     |         
 |   '--plastid                                 | 6     | 0.0013     |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"213,110"
34	4122	"Tork"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1928  | 0.47       |                                                                           
 |--organelle                                   | 40    | 0.0097     |                                                                           
 |   '--mitochondria                            | 40    | 0.0097     |                                                                           
 '--repeat                                      | 1888  | 0.46       |                                                                           
     '--mobile_element                          | 1888  | 0.46       |                                                                           
         '--Class_I                             | 1888  | 0.46       |                                                                           
             '--LTR                             | 1888  | 0.46       |                                                                           
                 '--Ty1_copia                   | 1888  | 0.46       |                                                                           
                     |--Ale                     | 3     | 0.00073    | 3 (Ty1-RT),                                                               
                     |--Alesia                  | 1     | 0.00024    | 1 (Ty1-RH),                                                               
                     |--Ivana                   | 1     | 0.00024    | 1 (Ty1-PROT),                                                             
                     '--Tork                    | 1883  | 0.46       | 157 (Ty1-GAG), 497 (Ty1-INT), 146 (Ty1-PROT), 312 (Ty1-RH), 771 (Ty1-RT), "	NA	"171,149"
35	4049	"Ogre"	"                                                | nhits | proportion |                                                                                 features
---------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1506  | 0.37       |                                                                                         
 |--organelle                                   | 2     | 0.00049    |                                                                                         
 |   '--mitochondria                            | 2     | 0.00049    |                                                                                         
 '--repeat                                      | 1504  | 0.37       |                                                                                         
     '--mobile_element                          | 1504  | 0.37       |                                                                                         
         '--Class_I                             | 1504  | 0.37       |                                                                                         
             '--LTR                             | 1504  | 0.37       |                                                                                         
                 '--Ty3_gypsy                   | 1504  | 0.37       |                                                                                         
                     '--non-chromovirus         | 1504  | 0.37       |                                                                                         
                         '--OTA                 | 1504  | 0.37       |                                                                                         
                             '--Tat             | 1504  | 0.37       |                                                                                         
                                 |--TatII       | 1     | 0.00025    | 1 (Ty3-aRH),                                                                            
                                 |--Ogre        | 1493  | 0.37       | 156 (Ty3-GAG), 556 (Ty3-INT), 70 (Ty3-PROT), 257 (Ty3-RH), 265 (Ty3-RT), 189 (Ty3-aRH), 
                                 '--Retand      | 10    | 0.0025     | 1 (Ty3-PROT), 2 (Ty3-RH), 1 (Ty3-RT), 6 (Ty3-aRH),                                      "	NA	"208,245,162"
36	4022	"contamination"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4022  | 1          |         
 '--contamination                               | 4022  | 1          |         "	NA	"101"
37	3677	"hAT"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 211   | 0.057      |                  
 '--repeat                                      | 211   | 0.057      |                  
     '--mobile_element                          | 211   | 0.057      |                  
         '--Class_II                            | 211   | 0.057      |                  
             '--Subclass_1                      | 211   | 0.057      |                  
                 '--TIR                         | 211   | 0.057      |                  
                     '--hAT                     | 211   | 0.057      | 211 (hAT-TPase), "	NA	"105"
38	3600	"CRM"	"                                                | nhits | proportion |                                                               features
---------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 352   | 0.098      |                                                                       
 '--repeat                                      | 352   | 0.098      |                                                                       
     '--mobile_element                          | 352   | 0.098      |                                                                       
         '--Class_I                             | 352   | 0.098      |                                                                       
             '--LTR                             | 352   | 0.098      |                                                                       
                 '--Ty3_gypsy                   | 352   | 0.098      |                                                                       
                     '--chromovirus             | 352   | 0.098      |                                                                       
                         '--CRM                 | 352   | 0.098      | 67 (Ty3-CHDCR), 280 (Ty3-GAG), 1 (Ty3-INT), 2 (Ty3-PROT), 2 (Ty3-RT), "	NA	"189,153"
39	3536	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3414  | 0.97       |         
 '--organelle                                   | 3414  | 0.97       |         
     |--plastid                                 | 2891  | 0.82       |         
     '--mitochondria                            | 523   | 0.15       |         "	NA	"107"
40	3434	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"108"
41	3305	"Tork"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 105   | 0.032      |                              
 |--organelle                                   | 1     | 3e-04      |                              
 |   '--plastid                                 | 1     | 3e-04      |                              
 '--repeat                                      | 104   | 0.032      |                              
     '--mobile_element                          | 104   | 0.032      |                              
         '--Class_I                             | 104   | 0.032      |                              
             '--LTR                             | 104   | 0.032      |                              
                 '--Ty1_copia                   | 104   | 0.032      |                              
                     |--Ale                     | 1     | 3e-04      | 1 (Ty1-GAG),                 
                     |--Ivana                   | 1     | 3e-04      | 1 (Ty1-PROT),                
                     '--Tork                    | 102   | 0.031      | 59 (Ty1-GAG), 43 (Ty1-PROT), "	NA	"111"
42	3097	"NA"	"                                                | nhits | proportion |                                  features
----------------------------------------------------------------------------------------------------------------
All                                             | 17    | 0.0055     |                                          
 '--repeat                                      | 17    | 0.0055     |                                          
     '--mobile_element                          | 17    | 0.0055     |                                          
         '--Class_I                             | 17    | 0.0055     |                                          
             '--LTR                             | 17    | 0.0055     |                                          
                 |--Ty1_copia                   | 1     | 0.00032    |                                          
                 |   '--Ale                     | 1     | 0.00032    | 1 (Ty1-RT),                              
                 '--Ty3_gypsy                   | 16    | 0.0052     |                                          
                     '--chromovirus             | 16    | 0.0052     |                                          
                         '--CRM                 | 16    | 0.0052     | 1 (Ty3-CHDCR), 10 (Ty3-GAG), 5 (Ty3-RH), "	NA	"116"
43	3088	"pararetrovirus"	"                                                | nhits | proportion |                                       features
---------------------------------------------------------------------------------------------------------------------
All                                             | 824   | 0.27       |                                               
 |--organelle                                   | 1     | 0.00032    |                                               
 |   '--mitochondria                            | 1     | 0.00032    |                                               
 '--repeat                                      | 823   | 0.27       |                                               
     '--mobile_element                          | 823   | 0.27       |                                               
         '--Class_I                             | 823   | 0.27       |                                               
             |--LTR                             | 22    | 0.0071     |                                               
             |   '--Ty3_gypsy                   | 22    | 0.0071     |                                               
             |       |--non-chromovirus         | 1     | 0.00032    |                                               
             |       |   '--Phygy               | 1     | 0.00032    | 1 (Ty3-RH),                                   
             |       '--chromovirus             | 21    | 0.0068     |                                               
             |           |--CRM                 | 1     | 0.00032    | 1 (Ty3-INT),                                  
             |           |--Tekay               | 15    | 0.0049     | 15 (Ty3-RH),                                  
             |           '--Reina               | 5     | 0.0016     | 5 (Ty3-RH),                                   
             '--pararetrovirus                  | 801   | 0.26       | 23 (PARA-PROT), 290 (PARA-RH), 488 (PARA-RT), "	NA	"117"
44	3087	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2960  | 0.96       |         
 '--organelle                                   | 2960  | 0.96       |         
     |--plastid                                 | 2887  | 0.94       |         
     '--mitochondria                            | 73    | 0.024      |         "	NA	"200,174"
45	2920	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2920  | 1          |         
 '--organelle                                   | 2920  | 1          |         
     |--plastid                                 | 2913  | 1          |         
     '--mitochondria                            | 7     | 0.0024     |         "	NA	"122"
46	2841	"Ale"	"                                                | nhits | proportion |                                                                 features
-----------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1220  | 0.43       |                                                                         
 |--organelle                                   | 1     | 0.00035    |                                                                         
 |   '--mitochondria                            | 1     | 0.00035    |                                                                         
 '--repeat                                      | 1219  | 0.43       |                                                                         
     '--mobile_element                          | 1219  | 0.43       |                                                                         
         |--Class_I                             | 1218  | 0.43       |                                                                         
         |   '--LTR                             | 1218  | 0.43       |                                                                         
         |       |--Ty1_copia                   | 1216  | 0.43       |                                                                         
         |       |   |--Ale                     | 1158  | 0.41       | 44 (Ty1-GAG), 349 (Ty1-INT), 54 (Ty1-PROT), 275 (Ty1-RH), 436 (Ty1-RT), 
         |       |   |--Alesia                  | 9     | 0.0032     | 1 (Ty1-INT), 8 (Ty1-RT),                                                
         |       |   |--Ivana                   | 22    | 0.0077     | 1 (Ty1-INT), 18 (Ty1-RH), 3 (Ty1-RT),                                   
         |       |   |--TAR                     | 1     | 0.00035    | 1 (Ty1-RT),                                                             
         |       |   '--Tork                    | 26    | 0.0092     | 26 (Ty1-RT),                                                            
         |       '--Ty3_gypsy                   | 2     | 7e-04      |                                                                         
         |           '--chromovirus             | 2     | 7e-04      |                                                                         
         |               |--Tekay               | 1     | 0.00035    | 1 (Ty3-RH),                                                             
         |               '--Reina               | 1     | 0.00035    | 1 (Ty3-RT),                                                             
         '--Class_II                            | 1     | 0.00035    |                                                                         
             '--Subclass_1                      | 1     | 0.00035    |                                                                         
                 '--TIR                         | 1     | 0.00035    |                                                                         
                     '--EnSpm_CACTA             | 1     | 0.00035    | 1 (CACTA-TPase),                                                        "	NA	"123"
47	2763	"MuDR_Mutator"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 144   | 0.052      |                   
 '--repeat                                      | 144   | 0.052      |                   
     '--mobile_element                          | 144   | 0.052      |                   
         '--Class_II                            | 144   | 0.052      |                   
             '--Subclass_1                      | 144   | 0.052      |                   
                 '--TIR                         | 144   | 0.052      |                   
                     '--MuDR_Mutator            | 144   | 0.052      | 144 (MuDR-TPase), "	NA	"656,130"
48	2757	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"126"
49	2696	"CRM"	"                                                | nhits | proportion |                                                                                   features
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1497  | 0.56       |                                                                                           
 '--repeat                                      | 1497  | 0.56       |                                                                                           
     '--mobile_element                          | 1497  | 0.56       |                                                                                           
         '--Class_I                             | 1497  | 0.56       |                                                                                           
             '--LTR                             | 1497  | 0.56       |                                                                                           
                 '--Ty3_gypsy                   | 1497  | 0.56       |                                                                                           
                     '--chromovirus             | 1497  | 0.56       |                                                                                           
                         |--Chlamyvir           | 1     | 0.00037    | 1 (Ty3-RT),                                                                               
                         |--CRM                 | 1491  | 0.55       | 18 (Ty3-CHDCR), 177 (Ty3-GAG), 574 (Ty3-INT), 115 (Ty3-PROT), 287 (Ty3-RH), 320 (Ty3-RT), 
                         |--Galadriel           | 2     | 0.00074    | 2 (Ty3-RH),                                                                               
                         '--Reina               | 3     | 0.0011     | 3 (Ty3-RH),                                                                               "	NA	"128"
50	2574	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"132"
51	2550	"Tekay"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 276   | 0.11       |                
 '--repeat                                      | 276   | 0.11       |                
     '--mobile_element                          | 276   | 0.11       |                
         '--Class_I                             | 276   | 0.11       |                
             '--LTR                             | 276   | 0.11       |                
                 '--Ty3_gypsy                   | 276   | 0.11       |                
                     '--chromovirus             | 276   | 0.11       |                
                         |--CRM                 | 21    | 0.0082     | 21 (Ty3-GAG),  
                         |--Tekay               | 253   | 0.099      | 253 (Ty3-GAG), 
                         '--Reina               | 2     | 0.00078    | 2 (Ty3-GAG),   "	NA	"133"
52	2536	"NA"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1092  | 0.43       |                                                                          
 |--organelle                                   | 281   | 0.11       |                                                                          
 |   '--mitochondria                            | 281   | 0.11       |                                                                          
 '--repeat                                      | 811   | 0.32       |                                                                          
     '--mobile_element                          | 811   | 0.32       |                                                                          
         '--Class_I                             | 811   | 0.32       |                                                                          
             '--LTR                             | 811   | 0.32       |                                                                          
                 '--Ty1_copia                   | 811   | 0.32       |                                                                          
                     |--Ikeros                  | 1     | 0.00039    | 1 (Ty1-RT),                                                              
                     '--Tork                    | 810   | 0.32       | 69 (Ty1-GAG), 272 (Ty1-INT), 104 (Ty1-PROT), 141 (Ty1-RH), 224 (Ty1-RT), "	NA	"134"
53	2509	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2157  | 0.86       |         
 '--organelle                                   | 2157  | 0.86       |         
     |--plastid                                 | 1812  | 0.72       |         
     '--mitochondria                            | 345   | 0.14       |         "	NA	"136"
54	2499	"mitochondria"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1199  | 0.48       |              
 |--organelle                                   | 1192  | 0.48       |              
 |   '--mitochondria                            | 1192  | 0.48       |              
 '--repeat                                      | 7     | 0.0028     |              
     '--mobile_element                          | 7     | 0.0028     |              
         '--Class_I                             | 7     | 0.0028     |              
             |--LTR                             | 6     | 0.0024     |              
             |   '--Ty3_gypsy                   | 6     | 0.0024     |              
             |       '--non-chromovirus         | 6     | 0.0024     |              
             |           '--OTA                 | 6     | 0.0024     |              
             |               '--Tat             | 6     | 0.0024     |              
             |                   |--Ogre        | 4     | 0.0016     | 4 (Ty3-aRH), 
             |                   '--Retand      | 2     | 8e-04      | 2 (Ty3-aRH), 
             '--LINE                            | 1     | 4e-04      | 1 (LINE-RT), "	NA	"137"
55	2398	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 1542  | 0.64       |               
 |--organelle                                   | 1522  | 0.63       |               
 |   |--plastid                                 | 3     | 0.0012     |               
 |   '--mitochondria                            | 1519  | 0.63       |               
 '--repeat                                      | 20    | 0.0083     |               
     '--mobile_element                          | 20    | 0.0083     |               
         '--Class_I                             | 20    | 0.0083     |               
             '--LINE                            | 20    | 0.0083     | 20 (LINE-RT), "	NA	"139"
56	2348	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 1319  | 0.56       |               
 |--organelle                                   | 1299  | 0.55       |               
 |   '--mitochondria                            | 1299  | 0.55       |               
 '--repeat                                      | 20    | 0.0085     |               
     '--mobile_element                          | 20    | 0.0085     |               
         '--Class_I                             | 20    | 0.0085     |               
             '--LTR                             | 20    | 0.0085     |               
                 '--Ty3_gypsy                   | 20    | 0.0085     |               
                     |--non-chromovirus         | 8     | 0.0034     |               
                     |   '--OTA                 | 8     | 0.0034     |               
                     |       '--Tat             | 8     | 0.0034     |               
                     |           |--Ogre        | 3     | 0.0013     | 3 (Ty3-INT),  
                     |           '--Retand      | 5     | 0.0021     | 5 (Ty3-INT),  
                     '--chromovirus             | 12    | 0.0051     |               
                         '--CRM                 | 12    | 0.0051     | 12 (Ty3-INT), "	NA	"142"
57	2328	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00043    |         
 '--organelle                                   | 1     | 0.00043    |         
     '--plastid                                 | 1     | 0.00043    |         "	NA	"143"
58	2281	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2106  | 0.92       |         
 '--organelle                                   | 2106  | 0.92       |         
     |--plastid                                 | 2077  | 0.91       |         
     '--mitochondria                            | 29    | 0.013      |         "	NA	"146"
59	2140	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2140  | 1          |         
 '--organelle                                   | 2140  | 1          |         
     |--plastid                                 | 1976  | 0.92       |         
     '--mitochondria                            | 164   | 0.077      |         "	NA	"152"
60	2129	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2110  | 0.99       |         
 '--organelle                                   | 2110  | 0.99       |         
     '--plastid                                 | 2110  | 0.99       |         "	NA	"154"
61	2124	"Ale"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 984   | 0.46       |                                                                          
 |--organelle                                   | 11    | 0.0052     |                                                                          
 |   '--mitochondria                            | 11    | 0.0052     |                                                                          
 '--repeat                                      | 973   | 0.46       |                                                                          
     '--mobile_element                          | 973   | 0.46       |                                                                          
         '--Class_I                             | 973   | 0.46       |                                                                          
             '--LTR                             | 973   | 0.46       |                                                                          
                 '--Ty1_copia                   | 973   | 0.46       |                                                                          
                     |--Ale                     | 946   | 0.44       | 147 (Ty1-GAG), 228 (Ty1-INT), 60 (Ty1-PROT), 203 (Ty1-RH), 308 (Ty1-RT), 
                     |--Ivana                   | 15    | 0.0071     | 12 (Ty1-RH), 3 (Ty1-RT),                                                 
                     |--SIRE                    | 6     | 0.0028     | 6 (Ty1-RT),                                                              
                     |--Tork                    | 5     | 0.0024     | 5 (Ty1-RT),                                                              
                     '--Ty1-outgroup            | 1     | 0.00047    | 1 (Ty1-RH),                                                              "	NA	"985,159"
62	2123	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2024  | 0.95       |         
 '--organelle                                   | 2024  | 0.95       |         
     |--plastid                                 | 1897  | 0.89       |         
     '--mitochondria                            | 127   | 0.06       |         "	NA	"155"
63	2082	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"157"
64	2034	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2032  | 1          |         
 '--organelle                                   | 2032  | 1          |         
     |--plastid                                 | 2031  | 1          |         
     '--mitochondria                            | 1     | 0.00049    |         "	NA	"160"
65	2003	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"606,168"
66	2000	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 958   | 0.48       |               
 |--organelle                                   | 937   | 0.47       |               
 |   '--mitochondria                            | 937   | 0.47       |               
 '--repeat                                      | 21    | 0.01       |               
     '--mobile_element                          | 21    | 0.01       |               
         '--Class_I                             | 21    | 0.01       |               
             |--LTR                             | 20    | 0.01       |               
             |   '--Ty1_copia                   | 20    | 0.01       |               
             |       |--Ale                     | 19    | 0.0095     | 19 (Ty1-INT), 
             |       '--Ivana                   | 1     | 5e-04      | 1 (Ty1-INT),  
             '--LINE                            | 1     | 5e-04      | 1 (LINE-RT),  "	NA	"161"
67	1991	"mitochondria"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 1258  | 0.63       |                             
 |--organelle                                   | 1231  | 0.62       |                             
 |   '--mitochondria                            | 1231  | 0.62       |                             
 '--repeat                                      | 27    | 0.014      |                             
     '--mobile_element                          | 27    | 0.014      |                             
         '--Class_I                             | 27    | 0.014      |                             
             '--LTR                             | 27    | 0.014      |                             
                 '--Ty3_gypsy                   | 27    | 0.014      |                             
                     '--chromovirus             | 27    | 0.014      |                             
                         '--Galadriel           | 27    | 0.014      | 13 (Ty3-CHD), 14 (Ty3-INT), "	NA	"163"
68	1982	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"704,167"
69	1942	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 52    | 0.027      |         
 '--organelle                                   | 52    | 0.027      |         
     '--mitochondria                            | 52    | 0.027      |         "	NA	"164"
70	1933	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1651  | 0.85       |         
 '--organelle                                   | 1651  | 0.85       |         
     |--plastid                                 | 1450  | 0.75       |         
     '--mitochondria                            | 201   | 0.1        |         "	NA	"165"
71	1906	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"166"
72	1859	"CRM"	"                                                | nhits | proportion |                        features
------------------------------------------------------------------------------------------------------
All                                             | 662   | 0.36       |                                
 '--repeat                                      | 662   | 0.36       |                                
     '--mobile_element                          | 662   | 0.36       |                                
         '--Class_I                             | 662   | 0.36       |                                
             '--LTR                             | 662   | 0.36       |                                
                 |--Ty1_copia                   | 1     | 0.00054    |                                
                 |   '--Ale                     | 1     | 0.00054    | 1 (Ty1-INT),                   
                 '--Ty3_gypsy                   | 661   | 0.36       |                                
                     '--chromovirus             | 661   | 0.36       |                                
                         '--CRM                 | 661   | 0.36       | 340 (Ty3-GAG), 321 (Ty3-PROT), "	NA	"170"
